[2019-07-19 00:39:58] [INFO] (['HC1910'], '5m', 5, 12290.913030544107, ' time:', 50.80505585670471)
[2019-07-19 00:40:00] [INFO] (['I1907'], '5m', 0, -42.76799891958945, ' time:', 53.243462800979614)
[2019-07-19 00:40:02] [INFO] (['I1908'], '5m', 2, 129898.2480076229, ' time:', 55.35118126869202)
[2019-07-19 00:40:05] [INFO] (['I1909'], '5m', 4, 49734.77281680505, ' time:', 58.69040369987488)
[2019-07-19 00:40:08] [INFO] (['I2001'], '5m', 3, -29129.72299672292, ' time:', 61.355979919433594)
[2019-07-19 00:40:12] [INFO] (['J1909'], '5m', 1, -23206.183994791354, ' time:', 65.4714879989624)
[2019-07-19 00:40:13] [INFO] (['J2001'], '5m', 1, -6509.163997242285, ' time:', 66.57984972000122)
[2019-07-19 00:40:14] [INFO] (['JD1905'], '5m', 1, 68589.50338192738, ' time:', 67.46432375907898)
[2019-07-19 00:40:17] [INFO] (['JD1909'], '5m', 4, 1333.2825645328267, ' time:', 70.3630485534668)
[2019-07-19 00:40:21] [INFO] (['JM1909'], '5m', 2, -40621.89838934195, ' time:', 73.82217717170715)
[2019-07-19 00:40:24] [INFO] (['L1909'], '5m', 2, -6176.000000000002, ' time:', 77.23889112472534)
[2019-07-19 00:40:25] [INFO] (['L2001'], '5m', 1, 1191.1999999999998, ' time:', 78.52526140213013)
[2019-07-19 00:40:29] [INFO] (['M1909'], '5m', 3, 177036.3, ' time:', 82.54023385047913)
[2019-07-19 00:40:31] [INFO] (['M2001'], '5m', 0, -16.5, ' time:', 84.19073128700256)
[2019-07-19 00:40:32] [INFO] (['M2005'], '5m', 0, -44.550000000000004, ' time:', 85.11593699455261)
[2019-07-19 00:40:36] [INFO] (['MA1909'], '5m', 3, -37505.39999999998, ' time:', 88.83156704902649)
[2019-07-19 00:40:37] [INFO] (['MA1911'], '5m', 1, 8496.800000000001, ' time:', 90.11675763130188)
[2019-07-19 00:40:38] [INFO] (['NI1906'], '5m', 0, -72.60000000000001, ' time:', 90.98513531684875)
[2019-07-19 00:40:39] [INFO] (['OI1905'], '5m', 1, -5626.400000000001, ' time:', 92.23836588859558)
[2019-07-19 00:40:43] [INFO] (['OI1909'], '5m', 3, -20876.399999999998, ' time:', 96.08688139915466)
[2019-07-19 00:40:44] [INFO] (['OI2001'], '5m', 1, -11464.8, ' time:', 97.28769254684448)
[2019-07-19 00:40:44] [INFO] (['P1905'], '5m', 1, -19899.0, ' time:', 97.72095680236816)
[2019-07-19 00:40:48] [INFO] (['P1909'], '5m', 6, -66953.0, ' time:', 101.33367204666138)
